2 	 12-05-2016 	 17:42 	 199800
3 	 12-05-2016 	 17:44 	 98000
4 	 14-05-2016 	 17:46 	 270000
5 	 01-06-2016 	 07:15 	 28000
6 	 02-06-2016 	 07:55 	 248850
7 	 03-06-2016 	 08:36 	 248850
8 	 04-06-2016 	 08:38 	 72750
10 	 04-06-2016 	 16:42 	 48000
11 	 17-06-2016 	 07:38 	 34000
12 	 17-06-2016 	 08:01 	 44500
13 	 17-06-2016 	 08:01 	 675000
14 	 20-06-2016 	 08:04 	 3000
15 	 27-06-2016 	 08:06 	 828000
16 	 27-06-2016 	 12:09 	 2450000
17 	 27-06-2016 	 14:12 	 35000
18 	 27-06-2016 	 14:14 	 18500
19 	 27-06-2016 	 14:16 	 4660600
20 	 27-06-2016 	 14:44 	 121600
21 	 27-06-2016 	 14:45 	 104500
22 	 27-06-2016 	 14:46 	 2500400
23 	 27-06-2016 	 14:46 	 10906000
24 	 27-06-2016 	 14:47 	 378000
25 	 27-06-2016 	 14:47 	 2615900
26 	 27-06-2016 	 14:49 	 247500
27 	 27-06-2016 	 14:50 	 74205
28 	 27-06-2016 	 15:17 	 147250
29 	 27-06-2016 	 15:18 	 837000
30 	 27-06-2016 	 15:19 	 666900
31 	 27-06-2016 	 15:20 	 21756000
32 	 27-06-2016 	 15:58 	 193500
33 	 27-06-2016 	 15:58 	 638100
34 	 27-06-2016 	 15:59 	 1099000
35 	 27-06-2016 	 16:00 	 38000
36 	 27-06-2016 	 16:00 	 3264800
37 	 27-06-2016 	 16:02 	 3356500
38 	 27-06-2016 	 16:03 	 10969000
39 	 27-06-2016 	 16:05 	 663750
40 	 27-06-2016 	 16:05 	 677700
41 	 27-06-2016 	 16:06 	 706500
42 	 27-06-2016 	 16:16 	 360000
43 	 27-06-2016 	 16:17 	 133000
44 	 27-06-2016 	 16:17 	 21924000
45 	 28-06-2016 	 16:18 	 3409000
46 	 28-06-2016 	 16:19 	 114000
47 	 30-06-2016 	 16:20 	 190800
48 	 30-06-2016 	 16:20 	 16000
49 	 30-06-2016 	 16:21 	 246600
50 	 30-06-2016 	 16:22 	 3339000
51 	 28-06-2016 	 04:19 	 5000
52 	 28-06-2016 	 04:21 	 47000
53 	 28-06-2016 	 04:22 	 307350
54 	 28-06-2016 	 04:23 	 306000
55 	 28-06-2016 	 04:23 	 67900
56 	 28-06-2016 	 04:25 	 5803000
57 	 28-06-2016 	 04:25 	 69840
58 	 28-06-2016 	 04:25 	 3192000
59 	 28-06-2016 	 04:26 	 63050
60 	 28-06-2016 	 04:27 	 64020
61 	 28-06-2016 	 04:27 	 48500
62 	 28-06-2016 	 04:28 	 65960
63 	 28-06-2016 	 04:28 	 8000
64 	 28-06-2016 	 04:28 	 198000
65 	 28-06-2016 	 04:29 	 16000
66 	 28-06-2016 	 04:29 	 24000
67 	 28-06-2016 	 04:29 	 64020
68 	 28-06-2016 	 04:36 	 220500
69 	 28-06-2016 	 04:36 	 95000
70 	 28-06-2016 	 04:37 	 166250
71 	 28-06-2016 	 04:37 	 2901500
72 	 28-06-2016 	 04:38 	 114000
73 	 28-06-2016 	 04:38 	 80025
74 	 28-06-2016 	 04:39 	 87300
75 	 28-06-2016 	 04:39 	 85360
76 	 28-06-2016 	 04:39 	 10878000
77 	 28-06-2016 	 07:18 	 53350
78 	 28-06-2016 	 07:18 	 185250
79 	 28-06-2016 	 07:19 	 73720
80 	 28-06-2016 	 07:19 	 64990
81 	 28-06-2016 	 07:19 	 61110
82 	 28-06-2016 	 07:20 	 18000
83 	 28-06-2016 	 07:21 	 252000
84 	 28-06-2016 	 07:21 	 668700
85 	 28-06-2016 	 07:21 	 55290
86 	 28-06-2016 	 10:41 	 172900
87 	 28-06-2016 	 10:41 	 31500
88 	 28-06-2016 	 10:41 	 787500
89 	 28-06-2016 	 10:41 	 104500
90 	 28-06-2016 	 10:42 	 51410
91 	 28-06-2016 	 10:42 	 31580500
92 	 28-06-2016 	 10:43 	 40000
93 	 28-06-2016 	 10:43 	 2433900
94 	 28-06-2016 	 10:43 	 53350
95 	 28-06-2016 	 10:43 	 244800
96 	 28-06-2016 	 10:46 	 56260
97 	 28-06-2016 	 10:46 	 10000
98 	 28-06-2016 	 10:46 	 637200
99 	 28-06-2016 	 10:47 	 87300
100 	 28-06-2016 	 10:47 	 630000
101 	 28-06-2016 	 10:47 	 82450
102 	 28-06-2016 	 10:48 	 180900
103 	 28-06-2016 	 10:48 	 603000
