1 	 AA01 	 aqua_600_ml 	 3000 	 1 	 3000
1 	 BP01 	 beras_pandan_18kg 	 170000 	 1 	 170000
1 	 GM01 	 gula_merah1/2kg 	 5000 	 1 	 5000
1 	 MS01 	 supermi_1dus 	 44000 	 1 	 44000
2 	 AA01 	 aqua_600_ml 	 3000 	 1 	 3000
2 	 BP01 	 beras_pandan_18kg 	 170000 	 1 	 170000
2 	 GM01 	 gula_merah1/2kg 	 5000 	 1 	 5000
2 	 MS01 	 supermi_1dus 	 44000 	 1 	 44000
3 	 MS01 	 supermi_1dus 	 44000 	 2 	 88000
3 	 TL01 	 telur_1kg 	 10000 	 1 	 10000
4 	 BP02 	 beras_pandan_25kg 	 250000 	 1 	 250000
4 	 AA03 	 aqua_600_ml_1dus 	 25000 	 2 	 50000
5 	 AA01 	 aqua_600_ml 	 3000 	 2 	 6000
5 	 SPD01 	 spidol 	 6000 	 1 	 6000
5 	 TL01 	 telur_1kg 	 10000 	 1 	 10000
6 	 AA01 	 aqua_600_ml 	 3000 	 3 	 9000
6 	 AS03 	 sanqua_220_ml 	 500 	 3 	 1500
6 	 AS04 	 sanqua_220_ml_1dus 	 10000 	 1 	 10000
6 	 BP02 	 beras_pandan_25kg 	 250000 	 1 	 250000
6 	 AA02 	 aqua_1500_ml 	 6000 	 1 	 6000
7 	 AA01 	 aqua_600_ml 	 3000 	 3 	 9000
7 	 AS03 	 sanqua_220_ml 	 500 	 3 	 1500
7 	 AS04 	 sanqua_220_ml_1dus 	 10000 	 1 	 10000
7 	 BP02 	 beras_pandan_25kg 	 250000 	 1 	 250000
7 	 AA02 	 aqua_1500_ml 	 6000 	 1 	 6000
8 	 AA01 	 aqua_600_ml 	 3000 	 2 	 6000
8 	 AA03 	 aqua_600_ml_1dus 	 25000 	 1 	 25000
8 	 MS01 	 supermi_1dus 	 44000 	 1 	 44000
10 	 BSD02 	 sidu_56l 	 30000 	 1 	 30000
10 	 BSD01 	 sidu_38l 	 22000 	 1 	 22000
10 	 AA01 	 aqua_600_ml 	 3000 	 1 	 3000
10 	 SPD01 	 spidol 	 6000 	 8 	 48000
11 	 AA01 	 aqua_600_ml 	 3000 	 1 	 3000
11 	 AA03 	 aqua_600_ml_1dus 	 25000 	 1 	 25000
11 	 SPD01 	 spidol 	 6000 	 1 	 6000
12 	 LUH01 	 lem_uhu 	 7000 	 2 	 14000
12 	 ISS01 	 isi_staples 	 2500 	 1 	 2500
12 	 STB01 	 stabilo 	 4000 	 1 	 4000
12 	 AA02 	 aqua_1500_ml 	 6000 	 1 	 6000
12 	 KRT09 	 kertas_fax 	 18000 	 1 	 18000
13 	 BP02 	 beras_pandan_25kg 	 250000 	 3 	 750000
14 	 AA01 	 aqua_600_ml 	 3000 	 1 	 3000
15 	 BP02 	 beras_pandan_25kg 	 250000 	 3 	 750000
15 	 BP01 	 beras_pandan_18kg 	 170000 	 1 	 170000
16 	 SGB01 	 spring_bed 	 700000 	 5 	 3500000
17 	 KRR01 	 kertas_1rim 	 32000 	 1 	 32000
17 	 AA01 	 aqua_600_ml 	 3000 	 1 	 3000
18 	 FBL01 	 faber_castel 	 5000 	 1 	 5000
18 	 STD01 	 pulpenstandard 	 2500 	 1 	 2500
18 	 PNG01 	 snow_eraser 	 5000 	 1 	 5000
18 	 SPD01 	 spidol 	 6000 	 1 	 6000
19 	 LPHP01 	 laptop_hp_i5 	 6548000 	 1 	 6548000
19 	 MSLT01 	 mouse_logitech_b100 	 110000 	 1 	 110000
20 	 PPM01 	 pop_mie 	 5000 	 3 	 15000
20 	 MFL01 	 minyak_filma2lt 	 22000 	 1 	 22000
20 	 RLX01 	 relaxa 	 5000 	 1 	 5000
20 	 KP01 	 kopiko 	 6000 	 1 	 6000
20 	 BRT01 	 beras_top 	 80000 	 1 	 80000
21 	 FLD02 	 flashdisk8gb 	 60000 	 1 	 60000
21 	 FLD01 	 flashdisk4gb 	 50000 	 1 	 50000
22 	 MSCC01 	 mesin_cuci_panasonic 	 3560000 	 1 	 3560000
22 	 SJP01 	 sandal_jepit 	 12000 	 1 	 12000
23 	 SPDA01 	 sepeda_gunung 	 15540000 	 1 	 15540000
23 	 HD01 	 handuk_besar 	 40000 	 1 	 40000
24 	 BLBK02 	 bola_basket_besar 	 220000 	 1 	 220000
24 	 BLFS01 	 bola_futsal_adidas 	 200000 	 1 	 200000
25 	 ACDK01 	 ac_daikin_1/2pk 	 3477000 	 1 	 3477000
25 	 SSG01 	 sarung_gajah 	 85000 	 1 	 85000
25 	 JJS01 	 jas_hujan 	 175000 	 1 	 175000
26 	 TPL01 	 tas_polo 	 200000 	 1 	 200000
26 	 KGL01 	 kabel_gulung 	 75000 	 1 	 75000
27 	 MSI01 	 indomie_soto 	 2000 	 3 	 6000
27 	 SKB01 	 susu_kambing 	 30000 	 1 	 30000
27 	 BU01 	 baso_urat 	 30000 	 1 	 30000
27 	 CM01 	 cimory 	 8000 	 1 	 8000
27 	 MSI02 	 indomie_goreng 	 2500 	 1 	 2500
28 	 AA01 	 aqua_600_ml 	 3000 	 2 	 6000
28 	 FLD01 	 flashdisk4gb 	 50000 	 2 	 100000
28 	 FBL01 	 faber_castel 	 5000 	 1 	 5000
28 	 MS01 	 supermi_1dus 	 44000 	 1 	 44000
29 	 BP01 	 beras_pandan_18kg 	 170000 	 4 	 680000
29 	 BP02 	 beras_pandan_25kg 	 250000 	 1 	 250000
30 	 LUH01 	 lem_uhu 	 7000 	 3 	 21000
30 	 GM02 	 gula_merah1/4 	 3000 	 1 	 3000
30 	 BFI01 	 boxfile_index 	 12000 	 1 	 12000
30 	 GM01 	 gula_merah1/2kg 	 5000 	 1 	 5000
30 	 TLZ01 	 Toner_Lazer_36_A 	 700000 	 1 	 700000
31 	 SPDA01 	 sepeda_gunung 	 15540000 	 2 	 31080000
32 	 BKK01 	 baju_koko 	 85000 	 1 	 85000
32 	 BBT01 	 baju_batik 	 55000 	 1 	 55000
32 	 KGL01 	 kabel_gulung 	 75000 	 1 	 75000
33 	 SGB01 	 spring_bed 	 700000 	 1 	 700000
33 	 OOT01 	 otak_otak 	 7000 	 1 	 7000
